forehead	noun	/ˈfɔːhed/	古英语 forheafod：fore（在前）+ heafod（头）← 原始日耳曼语 *haubudam（头）	the part of the face above the eyes and below the hair	体温枪往眉毛上边那块平地一贴，眉一挑，横纹叠起好几道	额头	The nurse pressed a thermometer to his forehead.|Sweat ran down her forehead into her eyes.	the flat field of the face above the eyes – 眼睛上方那块平地
gaze	verb / noun	/ɡeɪz/	中古英语 gasen（久久盯看），大概出斯堪的纳维亚语一支，比较挪威、瑞典方言 gasa（张口看）	to look at something for a long time without moving your eyes	他在画前站了十分钟没动，脖子都没转，旁边有人走过也没察觉	凝视/注视/目光	She gazed out of the window for hours.|He felt her gaze on his back.	eyes fixed on one thing and staying there – 眼睛落在一处就不再挪开	凝视：眼神钉住不动，人也跟着定住|注视：把视线一直放在那上头，留着神|目光：投出去的那道视线本身
gear	noun	/ɡɪə/	中古英语 gere ← 古诺尔斯语 gørvi（行头、装备），与动词 gøra（做、备好）同支 ← 原始日耳曼语 *garwjan	the equipment needed for an activity, or a toothed wheel in a machine	绳索头盔锁扣摊在地上一样样清点；旁边两排齿咬住互转，快慢立刻变了	装备/齿轮/挡位	Bring your climbing gear tomorrow.|He shifted the car into third gear.	the fitted-out parts that make a job possible – 为干成一件事配齐的那套件	装备：干一件事要带齐的那一套家伙|齿轮：机器里咬合传力的那种带齿的轮，也算配件一支|挡位：靠这些轮子换出来的快慢档次
get	verb	/ɡet/	古诺尔斯语 geta（取得、够到、能够）← 原始日耳曼语 *getan；古英语只在 begietan、forgietan 等复合词里保留	to come to have something, or to reach a state or place	伸手把架子最上层那个盒子够下来，抱在怀里	得到/变得/到达/明白	I got a letter from her yesterday.|We got home just before dark.	closing the gap until the thing is yours – 把距离收掉，东西就在手里了	得到：原来不在手上，现在在手上了|变得：人或物挪到另一个状态里，跟挪到另一个地方一样|到达：身子本身够到了那个地点|明白：意思够到了脑子里，抓住了
giant	noun / adjective	/ˈdʒaɪənt/	古法语 geant ← 拉丁语 gigas ← 希腊语 gigas（神话中的巨人族）	an imaginary person of enormous size, or something much larger than usual	门框上的刻痕比屋顶还高，脚印踩进泥里能盛住一整桶水	巨人/大企业/巨大的	The story tells of a giant in the hills.|Two giants control the whole market.	a body scaled far past normal size – 尺寸远远超出常人的一副身量	巨人：个头大得离谱的那种人|大企业：行业里体量压过别人的那一家，同一个大|巨大的：拿这种体量去形容别的东西
gift	noun	/ɡɪft/	古诺尔斯语 gift / gipt（赠礼、好运）← 原始日耳曼语 *geftiz ← *geb-（给）；古英语 gift 本指聘礼	something given to someone without payment, or a natural ability	包好的盒子推到对面手边，收的人问多少钱，送的人摆摆手	礼物/赠品/天赋	She brought a small gift for the baby.|He has a real gift for languages.	handed over with nothing asked back – 递过去，不要回报	礼物：白给的东西，不用还钱|赠品：随主货一起白送的那一份|天赋：像被白给的一样，天生就有的本事
gigantic	adjective	/dʒaɪˈɡæntɪk/	拉丁语 gigant-（gigas 的词干）加 -ic 构成 ← 希腊语 gigas（巨人族）	extremely large in size or amount	起重机吊起一块混凝土板，板子把整栋楼的窗户全遮住了	巨大的/庞大的	A gigantic wave hit the small boat.|The project needs a gigantic amount of money.	sized like something out of legend – 大到像传说里的那种尺寸	巨大的：体量大得离谱，一眼就压过来|庞大的：偏说整体铺开的规模，数量或组织也这么说
giggle	verb / noun	/ˈɡɪɡl/	拟声词，16 世纪起见于英语，比较荷兰语 gichelen、德语 gickeln（吃吃地笑）	to laugh in a quick, quiet, high way, often when you should not	两个学生在后排捂着嘴，肩膀一抖一抖，老师一转头又憋回去	咯咯笑/傻笑/一阵笑	The children giggled at his silly hat.|She gave a nervous giggle.	laughter leaking out in small bursts – 一小股一小股漏出来的笑	咯咯笑：声音短促连着串，压不太住|傻笑：没什么正经理由就漏出来的那种|一阵笑：名词用法，指漏出来的那一小阵
girl	noun	/ɡɜːl/	中古英语 gyrle（孩子，男女通用），更早词源不明；低地德语 gære（男孩、女孩）等或与之有关，但关系不清	a female child or a young woman	校门口一个扎马尾的孩子蹲着系鞋带，书包比她背还宽	女孩/姑娘/女儿	A little girl waved from the window.|The girls in her class all play football.	a young female person, not yet grown – 还没长成的那个女性的人	女孩：年纪小的那一个，学龄前后都算|姑娘：长大些但未婚的那一段，口语常用|女儿：家里人说自家那一个
give	verb	/ɡɪv/	古英语 giefan / gifan（交出、赠与）← 原始日耳曼语 *gebanan	to hand something to someone so it becomes theirs	手心朝上把钥匙托过去，等对方的手指合上才松开	给/交出/让步/举办	He gave the keys to his brother.|She gave a talk on birds.	letting a thing pass out of your hand into another's – 让东西从自己手里过到别人手里	给：东西离开自己，归了对方|交出：本来攥着不放，现在松手让出去|让步：把自己占的那点余地让出去|举办：把一场活动给出去，办给别人看
glad	adjective	/ɡlæd/	古英语 glæd（明亮的、欢欣的）← 原始日耳曼语 *gladaz（光滑、发亮）	pleased and happy about something	听完电话她眉毛抬起来，嘴角压不住，走回桌边脚步都轻了	高兴的/乐意的	I am glad you could come.|She was glad to help with the move.	brightness showing on a person's face – 人脸上透出来的那点亮	高兴的：好事落定，脸上就亮起来|乐意的：被请去做事时也是这个亮，愿意接
glance	verb / noun	/ɡlɑːns/	中古英语 glacen（擦过、斜掠）← 古法语 glacier（打滑）← glace（冰）← 拉丁语 glacies（冰）；-n- 受中古英语 glenten（斜看）影响	to look at something quickly and then look away	说话时眼睛往手表上一溜就收回来，对面没看出他在赶时间	一瞥/扫一眼/斜擦而过	He glanced at his watch and stood up.|She gave him a quick glance.	eyes sliding over a thing and off again – 视线在东西上滑一下就滑开	一瞥：落上去又马上离开的那一下看|扫一眼：同一下看，说得更随意些|斜擦而过：本义，子弹或刀锋贴着表面滑开
glare	verb / noun	/ɡleə/	与中古荷兰语、中古低地德语 glaren（发亮）同支 ← 原始日耳曼语 *glaz-，与 glass 同出发亮一源	to shine with a light too strong to look at, or to stare angrily	正午的水面反光直冲眼睛，眼睛被逼得眯起来，看什么都刺	眩光/强光/怒视	The glare of the sun hurt his eyes.|She glared at him and said nothing.	light so hard it pushes the eyes back – 光硬到把眼睛顶回去	眩光：亮得看不成东西的那一片白|强光：单说光的强度，直冲过来|怒视：眼神像这种光一样直冲人，逼得对方躲开
glass	noun	/ɡlɑːs/	古英语 glæs（玻璃、玻璃器皿）← 原始日耳曼语 *glasam（发亮之物）	a hard clear material used for windows and drinking vessels	一块透明的硬片，敲上去脆响，摔在地上碎成尖角的碴子	玻璃/玻璃杯/眼镜	The ball broke the kitchen glass.|He filled her glass with water.	a hard see-through sheet that shatters – 一层硬而透、一摔就碎的东西	玻璃：这种透明硬材料本身|玻璃杯：用它做的喝水的那个|眼镜：用它磨成片架在鼻梁上的那副，常用复数
glide	verb	/ɡlaɪd/	古英语 glīdan（滑行、悄然移动）← 原始日耳曼语 *glīdan	to move smoothly and quietly without effort	天鹅在水面上过去，脚没露出来，身后只留一道细纹	滑行/滑翔/悄然移动	The boat glided across the still lake.|An eagle glided over the valley.	moving with nothing catching or pushing – 走得又稳又静，看不出使劲	滑行：贴着面走，摩擦小得几乎没有|滑翔：不扇翅膀、不开发动机，只借气流走|悄然移动：形容人也这么走，无声无息
glimpse	noun / verb	/ɡlɪmps/	中古英语 glimsen（微微发亮、瞥见），大概出古英语 *glimsian（微光一闪），与 gleam、glimmer 同一 gl- 支	a very short and incomplete view of something	火车过站不停，站牌上的字只闪了半个，没看全就过去了	一瞥/瞥见/短暂领略	I caught a glimpse of her in the crowd.|He glimpsed the sea between the houses.	a view gone before it finishes – 还没看完就没了的那一眼	一瞥：名词，得到的那不完整的一眼|瞥见：动词，恰好接住了这一眼|短暂领略：不止看物，也指对内情只窥到一角
global	adjective	/ˈɡləʊbl/	法语 global ← 拉丁语 globus（球体）	covering or affecting the whole world	桌上那个转起来的圆模型，红线从一头拉到另一头，绕回原处	全球的/全面的	Climate change is a global problem.|The company took a global view of costs.	taken as one whole round surface – 当成一个整圆面来看	全球的：范围铺满整个地表，哪儿都算在内|全面的：同一个整个，用在事情上就是不漏一处
globe	noun	/ɡləʊb/	中古法语 globe ← 拉丁语 globus（团块、球体）	a round object, especially the earth or a model of it	支架上一个能转的圆球，蓝多绿少，指头一拨就晃着转半圈	球体/地球/地球仪	He spun the globe on the desk.|Her books are read across the globe.	one round body seen whole – 整个看的一个圆球	球体：单说这个圆滚滚的形状|地球：我们脚下这个最大的圆球|地球仪：照它做的那个能转的小模型
gloomy	adjective	/ˈɡluːmi/	由 gloom（阴沉）派生，中古英语 gloumen（面色阴沉），更早词源不明	dark and depressing, or without hope	云压得很低，屋里下午三点就得开灯，人坐着不太想说话	阴暗的/阴沉的/悲观的	The old house felt cold and gloomy.|He gave a gloomy view of the future.	light and spirits both drawn down – 光和心气一起往下沉	阴暗的：光进不来，屋里发暗|阴沉的：天色或脸色压着，看不出亮|悲观的：往前看也是这片暗，觉得不会好
glory	noun	/ˈɡlɔːri/	古法语 glorie ← 拉丁语 gloria（荣耀、盛名）	great praise and honour won by an achievement	他举着奖杯站在台子最高一级，闪光灯四面打上来，全场喊着他的名字	荣耀/光荣/壮丽	The team won glory for their country.|The glory of the sunset held them still.	light thrown on someone by what they did – 因所成之事而被打在身上的光	荣耀：众人的称赞照到你身上|光荣：同一件事，中文里更常这么说|壮丽：这种光落在景物上，看着让人肃然
glove	noun	/ɡlʌv/	古英语 glōf（手套，亦指手掌）← 原始日耳曼语 *galōfō，或由集合前缀 *ga- 加 *lōfi（手）构成	a covering for the hand with a separate part for each finger	五个筒子缝在一块皮上，套进去手指各归各位，攥拳时皮面发紧	手套	He pulled on his leather gloves.|She lost one glove on the bus.	a sheath shaped to each finger – 按每根指头分开做的一层壳
glow	verb / noun	/ɡləʊ/	古英语 glōwan（发热发光）← 原始日耳曼语 *glō-（明亮地烧）	to give out a steady soft light or heat without flames	炉子里最后几块炭红着，没有火苗，手伸近了还是烫	发光/发热/红润	The embers glowed in the dark.|Her cheeks glowed after the run.	light coming off heat, with no flame – 有热无焰的那种亮	发光：亮是从自己身上出来的，且不闪|发热：同一块炭，另一面就是烫|红润：人脸上透出这种暖光，气色好
glue	noun / verb	/ɡluː/	古法语 glu（胶、粘鸟胶）← 晚期拉丁语 glutem（主格 glus）← 拉丁语 gluten（胶）	a sticky substance used to join things together	挤出一条稠液抹在断面上，两块按紧数到六十，松手已经掰不开	胶水/胶/粘住	He fixed the broken cup with glue.|She glued the photos into the album.	something sticky that makes two into one – 一层粘的东西，把两件变成一件	胶水：瓶里那种能粘的稠液|胶：泛指这一类能粘合的东西，不限液体|粘住：动词用法，用它把东西按在一起不放
goal	noun	/ɡəʊl/	中古英语 gol（界限、终点），更早词源不明；一说出古英语 *gāl（阻碍），一说出古法语 gaule（长杆）	something you aim to reach, or the place where points are scored	跑道尽头拉了一条白带，最先碰到它的人抬起手；球场两端各立一副框	目标/球门/得分	Her goal is to finish before June.|He scored the winning goal.	the marked end point you drive toward – 划出来、要奔过去的那个终点	目标：定下来要够到的那个点|球门：场上划出的那个要把球送进去的框|得分：球送进那个框换来的一分
goat	noun	/ɡəʊt/	古英语 gāt（母山羊）← 原始日耳曼语 *gaito	a small horned animal kept for milk and meat, able to climb rocks	石壁上一只四条腿的东西站在半个脚掌宽的凸沿上，下巴垂一撮毛，还在嚼	山羊	The goat ate the leaves off the bush.|They keep goats for milk.	a horned climber that eats anything – 长角、能上崖、什么都吃的那种
god	noun	/ɡɒd/	古英语 god（神）← 原始日耳曼语 *gudan（被祈告者）	a being believed to have power over nature and human life	殿里一座比人高的像，脚下摆着果子和香，进来的人先跪下	神/上帝/神像	They prayed to their god for rain.|He does not believe in God.	the one above, asked for what men cannot do – 被求告的那一位，管人办不到的事	神：被信为掌管万物的那一位或那一类|上帝：一神教里唯一的那一位，大写开头|神像：照他的样子造出来受拜的那尊
gold	noun	/ɡəʊld/	古英语 gold ← 原始日耳曼语 *gulþam（黄亮的金属）	a heavy yellow metal of high value	一小块压在手心里沉得意外，颜色不刺眼却一直亮，放了多年也不生锈	金/黄金/金牌	The ring is made of pure gold.|She won gold in the long jump.	the heavy yellow metal that never dulls – 又沉又黄、永不失色的那种金属	金：这种金属本身，化学上单指它|黄金：强调成色与价值时的常用说法|金牌：用它做面的第一名奖牌
golden	adjective	/ˈɡəʊldən/	由 gold 加 -en 构成，取代古英语 gylden	having the bright yellow colour of gold, or excellent	傍晚的麦地整片泛黄发亮，风一过像水面在动	金色的/金黄的/极好的	The fields turned golden in the evening.|This is a golden chance for you.	carrying gold's colour or gold's worth – 带着金子的颜色或金子的分量	金色的：颜色像那种金属，亮而不刺|金黄的：偏黄那一头的同一种亮|极好的：像金子一样值当，机会、年代都这么说
golf	noun	/ɡɒlf/	15 世纪苏格兰语 gouf，一般认为出中古荷兰语 colf / colve（棍、棒），此说未有定论	a game in which players hit a small ball into holes with clubs	草坡上一个人挥杆，白点飞很远落进草里，远处插着一根带旗的杆	高尔夫/高尔夫球	They play golf every Sunday morning.|He took up golf after retiring.	driving a small ball across open ground into a hole – 在开阔地上把小球一杆杆送进洞	高尔夫：这项运动本身|高尔夫球：既指这项运动，也指用的那颗小球
good	adjective	/ɡʊd/	古英语 gōd（优良的、合用的）← 原始日耳曼语 *gōdaz（合适、相配）	of high quality, or pleasant, or morally right	买回来的刀切了两年还快，握着也顺手，家里人都爱用它	好的/优秀的/善良的/擅长的	This is a good knife for the price.|She has always been good to me.	fitting its purpose well – 拿来用正合适	好的：合用、称心，最泛的一层|优秀的：在同类里明显合用得多|善良的：待人这一面上合乎该有的样子|擅长的：人对某事正合适，做得来
goodby	noun / interjection	/ˌɡʊdˈbaɪ/	由 God be with ye（愿神与你同在）缩合，16 世纪作 godbwye，后受 good day、good evening 影响改作 good-	a word said when leaving someone	站台上两人握完手，一个上了车，另一个在窗外抬手停了几秒	再见/告别	She said goodby and closed the door.|They waved goodby at the station.	the word left behind at parting – 分开时留下的那一句	再见：当面说出口的那句话|告别：整个分开的动作与场面，也用作名词
goodness	noun	/ˈɡʊdnəs/	古英语 gōdnes：gōd（好）+ -nes（表性质）	the quality of being kind and morally right	邻居把熬好的汤端过来放门口就走，谁也没提要回报的事	善良/优良/精华	She showed great goodness to strangers.|Boiling too long removes the goodness.	the good in a thing, taken as a quality – 把好单拎出来当一样东西看	善良：人身上那份待人厚道的品性|优良：物或事达到的那份好|精华：食物里最养人的那一份好东西
goods	noun	/ɡʊdz/	good（好东西）的复数，中古英语起指财物、可买卖之物	things that are made to be sold, or things a person owns	仓库里一箱箱码到顶，每箱贴着单子，叉车正把最外一排搬上车	商品/货物/财物	The shop sells household goods.|The goods arrived two days late.	things held or moved because they are worth having – 因为值钱而被人存着、运着的东西	商品：摆出来卖的那批东西|货物：正在运送、装卸的那批，同一批东西的另一面|财物：归某人所有的那些值钱东西
goose	noun	/ɡuːs/	古英语 gōs ← 原始日耳曼语 *gans-，拟其叫声	a large water bird with a long neck, larger than a duck	池边一只脖子很长的白鸟张嘴嘶叫，扇着翅膀追人，孩子往后跑	鹅/雁	A goose hissed at the children.|They roast a goose at Christmas.	the long-necked water bird that hisses – 脖子长、会嘶叫的那种水鸟	鹅：养在家里的那种，个大脖长|雁：同一类里野生迁飞的那支
gorgeous	adjective	/ˈɡɔːdʒəs/	借自古法语 gorgias（时髦华美的），更早词源不明；一说与 gorge（喉、颈饰）有关	extremely beautiful or very pleasant	她一进门所有人都停了一下，那身裙子的料子在灯下一层层反光	华丽的/美极了的/极好的	She looked gorgeous in that dress.|We had gorgeous weather all week.	good-looking to the point of stopping people – 好看到让人停一下	华丽的：本义偏衣饰讲究、看着贵气|美极了的：转来夸人夸物，程度顶高|极好的：连天气、饭菜也这么夸，只表太棒
gossip	noun / verb	/ˈɡɒsɪp/	古英语 godsibb（教父母）：god（神）+ sibb（亲属），本指受洗的见证人，后转指闲谈的熟人	talk about other people's private lives, often unkind or untrue	两个人在楼道压低声音说第三个人的事，见有人来就换话题	闲话/流言/说闲话	She spreads gossip about everyone.|They gossiped about the new manager.	private talk about someone not present – 背着当事人说他的私事	闲话：说出来的那些没根据的私事|流言：这些话传开之后自己长脚跑|说闲话：动词用法，指做这件事本身
gown	noun	/ɡaʊn/	古法语 goune（长袍、修女服）← 晚期拉丁语 gunna（皮毛衣物），更早词源不明	a long loose dress worn on formal occasions	一件长到脚踝的衣裳挂在门后，下摆宽得能扫到地，肩上一条缎带	长袍/礼服/女礼服	She wore a long white gown.|The judges appeared in black gowns.	one long loose piece falling to the feet – 一件宽松直落到脚的长衣	长袍：法官、学者穿的那种直落的宽衣|礼服：正式场合专穿的那一件|女礼服：其中女式那种，多长及地
grab	verb / noun	/ɡræb/	中古低地德语、中古荷兰语 grabben（一把抓住）← 原始日耳曼语 *grab-	to take hold of something suddenly and roughly	杯子刚往桌边倒，他手一伸就攥住了杯身，水只溅出一点	抓住/抢/抓紧机会	He grabbed my arm and pulled me back.|She grabbed a sandwich and ran.	hand closing on a thing all at once – 手一下合上，东西就在手里	抓住：手忽然合住，动作快而不讲究|抢：别人也要，一把先夺过来|抓紧机会：机会像杯子往下掉，得赶紧一把接住
grain	noun	/ɡreɪn/	古法语 grain ← 拉丁语 granum（谷粒、籽）	the seeds of food plants, or a very small hard piece of something	手插进麻袋里，硬硬的小颗从指缝漏下去，掉在木板上一片沙沙响	谷物/颗粒/纹理	The farmers stored the grain for winter.|You can see the grain of the wood.	one small hard seed, and things sized like it – 一粒小而硬的籽，以及同样大小的东西	谷物：这类小硬籽合起来的粮食|颗粒：沙、盐等同样大小的一粒粒|纹理：木头里一道道细线，像这些小粒排出来的走向
grand	adjective	/ɡrænd/	古法语 grant ← 拉丁语 grandis（大的、庄重的）	large and impressive in a formal, dignified way	门厅里一段石阶铺开二十级宽，顶上吊灯一层层垂下来，说话都有回声	宏大的/壮丽的/隆重的	They live in a grand old house.|The opening was a grand occasion.	big in a way meant to impress – 大得有意让人肃然	宏大的：尺寸和气派都往大处做|壮丽的：这种大落在景物上，看着震住人|隆重的：场面按这个规格摆出来，郑重其事
grape	noun	/ɡreɪp/	古法语 grape（一串葡萄）← 动词 graper（用钩采摘）← 法兰克语一支日耳曼语 *krappon（钩）	a small round juicy fruit growing in bunches on a vine	藤下垂着一串，颗颗挨紧，捏一下皮就破，汁把手指弄黏	葡萄	These grapes are sweet and seedless.|Wine is made from grapes.	small round fruit hanging packed in a bunch – 挤成一串垂着的小圆果
grasp	verb / noun	/ɡrɑːsp/	中古英语 graspen，或由 grapsen 换位而来 ← 古英语 *græpsan（触、摸）← 原始日耳曼语 *grap-；古英语 grapian（摸索）同支	to take and hold something firmly, or to understand something fully	绳子从悬崖边垂下来，他五指扣紧，整个人的重量都吊在这一握上	抓紧/握住/领会	He grasped the rope with both hands.|She quickly grasped what he meant.	fingers closing hard enough to hold everything – 手指扣到能承住全部重量	抓紧：不只碰到，还使上劲不放|握住：手完全合上，东西被固定在掌中|领会：意思像绳子一样被牢牢抓在手上，不再滑走
grass	noun	/ɡrɑːs/	古英语 græs（草、草本植物）← 原始日耳曼语 *grasan，与 grow、green 同源	a common low green plant that covers fields and lawns	光脚踩下去一片扎脚的绿，刚割过，断口还渗出汁，味道很生	草/草地/草坪	The children played on the grass.|He cut the grass every Saturday.	the low green cover that grows back after cutting – 铺在地上、割了又长的那层绿	草：这种细茎绿叶的植物本身|草地：它连成一片盖住的那块地|草坪：人修剪整齐、专供踩坐的那一块
graze	verb	/ɡreɪz/	古英语 grasian（吃草）← græs（草）；擦过一义 17 世纪起，或由贴地啃到根转来	to eat grass in a field, or to touch something lightly in passing	牛群低着头在坡上一步步挪，嘴贴着地啃，啃过的地方短了一截	放牧/吃草/擦过	The sheep grazed on the hillside.|The bullet grazed his shoulder.	mouth or edge skimming right along the surface – 嘴或边贴着表面掠过去	放牧：把牲口放到草上去，让它自己啃|吃草：牲口低头啃的那个动作本身|擦过：像啃到贴地那样，贴着表面掠一下就走
grease	noun / verb	/ɡriːs/	盎格鲁法语 grece、古法语 craisse（油脂，今法语 graisse）← 通俗拉丁语 *crassia（融出的动物油）← 拉丁语 crassus（厚、肥）	thick oily matter, especially melted animal fat	锅底凝着一层白油，抹布擦过只留下一道亮痕，手指一碰就滑	油脂/润滑油/涂油	The pan was covered in thick grease.|Grease the tin before you bake.	fat thick enough to coat and make slippery – 稠到能糊住表面、还打滑的油	油脂：动物身上熬出来的那种稠油|润滑油：抹在机件上让它不涩的那种|涂油：动词用法，把这种油抹到表面上去
great	adjective	/ɡreɪt/	古英语 grēat（粗大的、厚的）← 原始日耳曼语 *grautaz（粗颗的、粗大的）	very large in size or amount, or unusually good and important	门口那棵树四个人手拉手才围住，树荫盖住半个院子	大的/伟大的/极好的	A great crowd waited outside.|She was a great scientist.	far past ordinary size or worth – 尺寸或分量远超一般	大的：本义，个头或数量都超出常规|伟大的：分量上的大，人和事业这么说|极好的：口语里表示好得超出一般
greedy	adjective	/ˈɡriːdi/	古英语 grǣdig（贪食的、渴求的）← 原始日耳曼语 *grēduga-	wanting more of something than you need	盘子还没端稳他已经夹了三筷子，碗里堆得快掉出来，别人还没动手	贪吃的/贪心的/贪婪的	The greedy boy ate all the cake.|He was greedy for money and power.	reaching for more than one's share – 伸手要超过自己那一份	贪吃的：本义就在吃上，一口接一口|贪心的：不只吃，凡好处都想多占|贪婪的：书面里更重的说法，含贬
green	adjective / noun	/ɡriːn/	古英语 grēne（绿的、生的）← 原始日耳曼语 *grōni-，与 grow、grass 同源	of the colour of grass and leaves, or not yet ready or experienced	雨后新叶的那种颜色，看久了眼睛松快；掰下一枚咬一口，酸得直皱脸	绿色的/未熟的/新手的/环保的	The hills turned green in spring.|These bananas are still green.	the colour of new growth, and what is still new – 刚长出来的那种颜色，以及还没长成的状态	绿色的：草木新生时的那种颜色|未熟的：果子还是这颜色，没到能吃的时候|新手的：人也还没长成，事情做不周全|环保的：与草木一边的那些做法，后起用法
greet	verb	/ɡriːt/	古英语 grētan（接触、招呼、迎面而来）← 西日耳曼语 *grōtjan，更早词源不明	to say hello to someone when you meet them	门一开他先伸出手，同时点了下头，把人往屋里让	问候/迎接/迎面而来	She greeted us at the door.|The news was greeted with silence.	making first contact when two meet – 两人一碰面时的第一下接上	问候：见面先说的那一句|迎接：人到了，出门去接住他|迎面而来：景象、消息也这样撞上你，被动式常用
grey	adjective / noun	/ɡreɪ/	古英语 grǣg（灰色的）← 原始日耳曼语 *grēwaz	of a colour between black and white, or dull and without interest	连着下了五天雨，天和楼和路一个颜色，分不出边界在哪儿	灰色的/灰白的/沉闷的	The sky was grey all morning.|His hair turned grey early.	the colour with no black and no white left – 黑白都退掉之后剩下的那个色	灰色的：黑白之间那一档颜色|灰白的：偏白那一头，头发常这么说|沉闷的：日子像这颜色，没有起伏


grim	adjective	/ɡrɪm/	古英语 grimm（凶狠的、严厉的）← 原始日耳曼语 *grimmaz	looking or sounding harsh and offering no comfort	医生把片子往灯箱上一插，嘴角压成直线，屋里没人敢先开口	严酷的/冷酷的/令人沮丧的	The prisoners faced a grim future.|His grim face told us the news was bad.	hard-set and giving no comfort – 板着不松动，也不给人一点安慰	严酷的：条件硬到不留余地|冷酷的：脸绷着，看不出一点温情|令人沮丧的：看着它就觉得前头没指望
grin	verb / noun	/ɡrɪn/	古英语 grennian（露出牙齿）← 原始日耳曼语 *grinnōn	to smile widely so that the teeth show	他嘴角一直拉到耳根，上排牙全露在外头，眼睛挤成两条缝	露齿而笑/咧嘴笑	She gave me a wide grin.|He grinned at his own joke.	a smile pulled wide enough to bare the teeth – 笑到把牙露出来的那种拉开	露齿而笑：嘴角拉开，牙齿露在外面|咧嘴笑：指同一个动作，也指脸上留下的那个样子
grind	verb	/ɡraɪnd/	古英语 grindan（碾碎、摩擦）← 原始日耳曼语	to crush something into powder, or to rub two hard surfaces together	石盘转一圈，麦粒从中间的孔漏下去，边上白粉一点点堆起来	磨碎/碾/磨	The mill grinds wheat into flour.|He ground the beans for coffee.	rubbing a hard thing down to bits – 靠硬碰硬把东西蹭成碎末	磨碎：两面硬东西夹住，蹭成粉末|碾：压着来回蹭，把颗粒压破|磨：泛指这种蹭的动作，也用于刀刃和牙齿
grip	verb / noun	/ɡrɪp/	古英语 grippan（抓住）← 原始日耳曼语 *gripjan	to hold something very tightly, or a tight hold	绳子往下坠，他五指扣死缠两圈，指节全泛白也不松	紧握/抓牢/控制力	She gripped the rail with both hands.|He has a firm grip on the situation.	closing the hand so nothing can slip – 手合死，让东西滑不出去	紧握：手指收紧扣住不放|抓牢：抓的结果是稳住，不再打滑|控制力：像手扣住那样，把局面攥在手里
groan	verb / noun	/ɡrəʊn/	古英语 grānian（呻吟）← 原始日耳曼语 *grainōn	to make a long low sound because of pain or displeasure	伤员在担架上从喉咙深处拖出一串低音，一路没断	呻吟/抱怨声/发出低沉声	The injured man groaned in pain.|The class groaned when she set more homework.	a long low sound pushed out under strain – 撑不住时从喉咙里拖出来的一串低音	呻吟：疼得压不住，声音从喉咙漏出来|抱怨声：一群人同时哼出这声，表示不愿意|发出低沉声：木头或门轴受重时也这么响
grocer	noun	/ˈɡrəʊsə/	古法语 grossier ← 中世纪拉丁语 grossarius（成批卖货的人）← grossus（粗、大块）	a person or shop selling food and small everyday goods	柜台后头一排玻璃罐装着糖和茶叶，秤盘上还有没扫净的米	食品杂货商/杂货店	She bought eggs at the corner grocer.|The grocer weighed out a pound of rice.	the shop that sells everyday food by weight – 按斤两卖日常吃用的那家铺子	食品杂货商：站在秤后头卖这些货的人|杂货店：卖这些货的那间铺子
grope	verb	/ɡrəʊp/	古英语 grāpian（触摸、探摸）← 原始日耳曼语，与 grip 同源	to feel about with the hands because you cannot see	停电了，他贴着墙一寸寸往前挪，手在半空里划来划去找开关	摸索/暗中摸/探寻	He groped for the light switch in the dark.|She groped her way along the wall.	hands feeling ahead where the eyes are useless – 眼睛不管用时，让手先伸出去试	摸索：看不见，只能靠手一点点试出路|暗中摸：在黑处伸手去碰，找想要的东西|探寻：像黑里伸手那样，试着找答案
gross	adjective / noun	/ɡrəʊs/	古法语 gros ← 晚期拉丁语 grossus（粗的、厚的、大块的）	whole and before anything is taken off, or coarse and very obvious	工资单最上面那行数目最大，往下每扣一项就少一截	总的/严重的/粗俗的	His gross income is fifty thousand a year.|That was a gross error of judgement.	the thick whole before any trimming – 还没削减过的那一整块	总的：没扣掉任何一项的整个数目|严重的：错处大到一眼就看见，藏不住|粗俗的：不加修饰，粗厚得让人不适
ground	noun / verb	/ɡraʊnd/	古英语 grund（底部、地基）← 原始日耳曼语 *grunduz	the solid surface of the earth, or the base something rests on	铁锹往下一插，翻起一块带草根的土，底下石子露出来	地面/根据/使搁浅	He sat down on the wet ground.|We have good grounds for believing her.	the solid bottom everything stands on – 一切东西踩着的那个实底	地面：脚底下那层结实的土|根据：说法立在什么上面，那个底子|使搁浅：船底碰上实底，动不了
group	noun / verb	/ɡruːp/	法语 groupe ← 意大利语 gruppo（一团、一簇）← 日耳曼语 *kruppaz（圆块）	a number of people or things gathered together	照片里七八个人挤在一起，肩挨着肩，边上还空着一大片	群/组/分组	A group of tourists waited by the gate.|Please group these files by date.	several drawn together into one lump – 几样东西凑到一处成了一团	群：几个人或物聚在一处，看着像一团|组：按某个标准归到一起的那一份|分组：把散着的按标准归成几团的动作
grow	verb	/ɡrəʊ/	古英语 grōwan（生长、发芽）← 原始日耳曼语 *grōan	to get bigger, or to develop over time	窗台上那盆苗，上周刚过杯口，今天已经顶到玻璃	生长/增长/变得	These plants grow well in shade.|The city has grown very fast.	getting larger of itself as time passes – 时间过去，自己就变大了	生长：活物自己往大、往高去|增长：数目或规模一点点变大|变得：状态慢慢挪到另一个样子
